# Constructed from biom file																			
	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	ConsensusLineage
4440262	0.666666667	0	0	0	0	0	0.333333333	7.666666667	0	0	0.333333333	0	0.333333333	0	0.333333333	0.333333333	0.666666667	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__
514449	0.333333333	0.333333333	0.5	0.333333333	0.333333333	0	0.333333333	0	0	0	0	0.333333333	0	0	0	0	0	0.333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__
227239	0	0	0	0	0	0.333333333	0	0	0	0	1.666666667	0	0.333333333	0	0.666666667	0.333333333	0.666666667	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
4334529	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666667	k__Bacteria; p__Armatimonadetes; c__SJA-176; o__GAB-B06; f__; g__; s__
4378940	0	0	0	0	0	0	0	1.666666667	0	0	0	0	0	0	0.333333333	0	1	0	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
114076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
82104	0	0.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae
1909053	0	0.666666667	1	1	1.666666667	0.333333333	1	0	0	0	0.333333333	0	0	0	0	0	0	1.333333333	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__; s__
10708	0.666666667	0	0.5	0	0	0	0.333333333	2.666666667	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__
221964	0	0	0	0.333333333	0	0	0	0	0	0	0	0.666666667	0	0	0.333333333	0	0	0	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__
537635	0	0	0.5	0.333333333	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	1.666666667	k__Bacteria; p__Chlorobi; c__; o__; f__; g__; s__
113576	0.666666667	0	5.5	1	3	0	2.333333333	0.333333333	1.666666667	2.666666667	0	2.666666667	0	0	1	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
149144	0.333333333	0.666666667	0	6	0	0	0	0.666666667	0	0.333333333	0	0	0	0	0.333333333	0	0.333333333	0.666666667	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__; s__
877952	0	0	1	0.333333333	0	0	0.333333333	0	0.666666667	0.333333333	3.333333333	0.333333333	0	0.666666667	0.666666667	2.333333333	0.666666667	0.333333333	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__Candidatus Koribacter; s__versatilis
1086554	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0.333333333	0	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__
821553	0.333333333	0.666666667	0	0	1	0	0.666666667	0	0	0	0.333333333	0	0	0	0	0	0	0.333333333	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__
203969	3.333333333	1.666666667	6	5.333333333	4.666666667	18	3.333333333	0	0	0	0	0	0	0	0	0	0.333333333	5.333333333	k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__
203611	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.333333333	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__
2650464	0	0.666666667	0	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__
658475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__
1111320	0	0	0	0	0.333333333	0	0	0	0.333333333	0.666666667	0	0	0	0	0	0	0	0	k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__
1111326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__; s__
4429835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0.666666667	0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__
513584	1.666666667	0.333333333	1	0.666666667	0	0	0	0	0	0.333333333	0.333333333	0	0.333333333	0	0	0	0	0.666666667	k__Bacteria; p__Chlorobi; c__Ignavibacteria; o__Ignavibacteriales; f__Ignavibacteriaceae; g__; s__
4438548	0.666666667	0	0	0	0.333333333	0	0	1	0.666666667	0.333333333	0	0	0	0	0.333333333	0	0.666666667	0.666666667	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
336057	0.666666667	0.333333333	0	0	0	0	0	0	0	0.333333333	0	0	0.333333333	0	0.333333333	0	0.333333333	0.333333333	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__
790527	0	0	0	0	0.333333333	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__FW68; f__; g__; s__
948191	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__BD7-3; f__; g__; s__
1001908	0	0	0	0	0.333333333	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__
211555	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Ellin329; f__; g__; s__
4358255	0.666666667	0.666666667	0	0	0.333333333	0	0	2.333333333	0	0	0	0	0.666666667	0.333333333	0.333333333	0.333333333	2.333333333	0.333333333	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
3038080	0	0	0	0.333333333	0	0	0	0	0.333333333	0	0	0	0.333333333	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__211ds20; g__; s__
885628	0	0.666666667	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0.333333333	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Alloiococcus; s__otitis
517939	0.333333333	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	1	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__
204462	0	0	0	0	1	0	0	0	15.33333333	0	0.333333333	0	0	0	2	1	0.666666667	0.666666667	k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__
512727	0	0	2.5	1	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__
4467678	0	0	0.5	0	0	4.333333333	0.333333333	0	0.333333333	0	0.666666667	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Blastomonas
804948	0.333333333	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__
4403168	2.666666667	3	0	0.333333333	1.666666667	0	0	1	0.666666667	1	0	0.333333333	0.666666667	1.666666667	1	1.333333333	0.333333333	0.666666667	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__
112952	0	0	0	0	0	0	0	0.666666667	0	0	0	0	0	0.333333333	0	0	0.333333333	0	k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__
1131213	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Sinomonas; s__
237030	1	0.666666667	0	0.333333333	1	0	0	0	0.333333333	0.333333333	0	0	1	0.333333333	0	0.666666667	0	0	k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__OPB35; g__; s__
846759	0	0.333333333	0	0	0	0	0	0	0	0.333333333	1.666666667	0	0	0	0	0	0	0.666666667	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
4304789	0	0	0	0	0	0	0	0.666666667	0	0	0	0	0	0	0	0	0.333333333	0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__
543472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__; s__
